name;organization;observer_type
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
REM/CAGDF/FM;REM/CAGDF/FM;Mandated
Brainforest;Brainforest;External
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
Conservation Justice;Conservation Justice;SemiMandated
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
WCF;WCF;Mandated
CS-IFM;CS-IFM;External
CS-IFM;CS-IFM;External
CS-IFM;CS-IFM;External
CS-IFM;CS-IFM;External
CS-IFM;CS-IFM;External
EIA;EIA;External
EIA;EIA;External
EIA;EIA;External
Global Witness;Global Witness;External
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
OGF;OGF;Mandated
