,attributai,b_cert_af,b_cert_leg,b_cert_tra,created_date,created_user,d_cert_af,d_cert_leg,d_cert_tra,date_amgt,date_attr,date_con_d,date_con_p,desc_type,exploitant,globalid,last_edited_date,last_edited_user,nom_conces,objectid,s_cert_af,statu_amgt,statu_attr,statu_conv,sup_adm_ha,t_cert_af,t_cert_leg,t_cert_tra,type_
39,SIM,,,,1509528188000,KENDY,,,,1103846400000.0,1333411200000.0,,1333411200000.0,Concession Forestière,SIM,{06C64DB7-51E9-4BDD-96F6-A188A3D2B810},1520442078000,KENDIE,1039,680,,amenge,attribue,provisoire,35090.0,,,,4110110
40,SIM,,,,1509528188000,KENDY,,,,1436227200000.0,1359936000000.0,,1359936000000.0,Concession Forestière,SIM,{233A218F-74A2-4611-BD9B-6229A8B23CB1},1520442078000,KENDIE,1103,651,,amenge,attribue,provisoire,57018.0,,,,4110110
41,SOFOHNY,,,,1509528188000,KENDY,,,,1451606400000.0,1150588800000.0,,1146009600000.0,Concession Forestière,SOFOHNY,{F7F386EB-4436-4D02-A9BA-C13745606FED},1520442774000,KENDIE,1084,751,,revise,attribue,definitive,68030.0,,,,4110110
42,FIPCAM,,,BV,1509528188000,KENDY,,1394150400000.0,,1359417600000.0,1003276800000.0,1286236800000.0,1003276800000.0,Concession Forestière,FIPCAM,{722B8DB0-4FD9-4535-A595-59A6BF27B430},1520442754000,KENDIE,1050,730,,revise,attribue,definitive,73863.0,,OLB,,4110110
43,SEBAC,,,,1509528188000,KENDY,,1279843200000.0,,1380585600000.0,952992000000.0,1289865600000.0,952992000000.0,Concession Forestière,SEBAC,{9C057579-37CB-4625-99E7-7F9332D52982},1520442751000,KENDIE,1022,723,,revise,attribue,definitive,92287.0,,OLB,,4110110
44,SODETRANCAM,BV-FM/COC,,,1509528188000,KENDY,1223510400000.0,1304208000000.0,,1290643200000.0,1292803200000.0,1298592000000.0,980467200000.0,Concession Forestière,SODETRANCAM,{EEC6099A-2034-44B3-BC05-284EE2EC7C27},1520442745000,KENDIE,1019,704,,revise,attribue,definitive,64961.0,FSC,OLB,,4110110
45,FIPCAM,,,,1509528188000,KENDY,,,,1220313600000.0,1191888000000.0,,1191888000000.0,Concession Forestière,FIPCAM,{0F5783BB-2309-44BB-95A7-80A24A614FDD},1520442740000,KENDIE,1045,699,,revise,attribue,provisoire,54447.0,,,,4110110
46,CFC,,,RA&BV,1509528188000,KENDY,,1398384000000.0,,1279152000000.0,839894400000.0,1284422400000.0,839894400000.0,Concession Forestière,CFC,{50A863F5-C35B-4412-8F70-2437E6D77407},1520442730000,KENDIE,1025,681,,revise,attribue,definitive,193105.0,,"OLB, VLC",,4110110
47,SEBC,,,RA&BV,1509528188000,KENDY,,1398384000000.0,,1202428800000.0,890956800000.0,,890956800000.0,Concession Forestière,SEBC,{3415F7F4-10DA-45CB-91A2-B0BC13914EB2},1520442726000,KENDIE,1010,670,,revise,attribue,provisoire,122294.0,,"OLB, VLC",,4110110
48,SAB,,,RA&BV,1509528188000,KENDY,,1398384000000.0,,1074211200000.0,890956800000.0,,890956800000.0,Concession Forestière,SAB,{BD3B3BF3-B0F4-48E6-A5E7-ECE10B13C5C3},1520442722000,KENDIE,1013,669,,revise,attribue,provisoire,48554.0,,"OLB, VLC",,4110110
49,SCIEB,SW-FM/COC,,BV,1509528188000,KENDY,1290124800000.0,1250812800000.0,1258588800000.0,1318204800000.0,1358121600000.0,1286323200000.0,1003363200000.0,Concession Forestière,SCIEB,{983E3010-CC2F-454C-9AB1-4E1AF0E15101},1520442767000,KENDIE,1006,744,,revise,attribue,definitive,41965.0,FSC,OLB,BV-CW,4110110
50,COFA,,,,1509528188000,KENDY,,,,1454284800000.0,1030060800000.0,,1030060800000.0,Concession Forestière,COFA,{4624F260-3BC4-4A97-B527-6440B9D5BCB5},1520442758000,KENDIE,1064,733,,revise,attribue,provisoire,54822.0,,,,4110110
51,CAFECO,BV-FM/COC,,,1509528188000,KENDY,1268956800000.0,,,1406246400000.0,1164153600000.0,,1164153600000.0,Concession Forestière,CAFECO,{082B4F35-EDCB-4361-8945-1BE82C0EFD8E},1520442749000,KENDIE,1087,722,,revise,attribue,provisoire,80800.0,FSC,,,4110110
52,SEFECCAM,,,,1509528188000,KENDY,,,,1420070400000.0,1354752000000.0,,1354752000000.0,Concession Forestière,SEFECCAM,{3DDE58AC-A2D5-47D8-95FA-8FD9707FB702},1520442743000,KENDIE,1068,702,,revise,attribue,provisoire,54807.0,,,,4110110
53,FILIERE BOIS,,,,1509528188000,KENDY,,1277856000000.0,,1195516800000.0,1002153600000.0,1334016000000.0,1002153600000.0,Concession Forestière,FILIERE BOIS,{63C79437-33DE-4823-B1A0-9311E41F0DC9},1520442742000,KENDIE,1060,700,,revise,attribue,definitive,115900.0,,OLB,,4110110
